id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,actors,characters,director
ts300399,"['five', 'came', 'back', 'reference', 'film']",SHOW,"['collection', 'includes', '12', 'world', 'war', 'iiera', 'propaganda', 'film', 'many', 'graphic', 'offensive', 'discussed', 'docuseries', 'five', 'came', 'back']",OLD,5.0,51,['documentation'],['US'],1.0,,6.510860655737705,62.5,0.6,6.829174760787145,,,
ts22164,"['monty', 'python', 'flying', 'circus']",SHOW,"['british', 'sketch', 'comedy', 'series', 'show', 'composed', 'surreality', 'risqu', 'innuendoladen', 'humour', 'sight', 'gag', 'observational', 'sketch', 'without', 'punchlines']",OLD,4.0,30,"['comedy', 'european']",['GB'],4.0,tt0063929,8.8,73424.0,17.617,8.306,"['graham chapman', 'michael palin', 'terry jones', 'eric idle', 'terry gilliam']","['various', 'various  its man', 'various', 'various', 'various']",
ts45948,"['monty', 'python', 'fliegender', 'zirkus']",SHOW,"['monty', 'python', 'fliegender', 'zirkus', 'consisted', 'two', '45minute', 'german', 'television', 'comedy', 'special', 'produced', 'wdr', 'west', 'episode', 'first', 'broadcast', 'january', 'december', '1972', 'shot', 'entirely', 'film', 'mostly', 'location', 'bavaria', 'recorded', 'second', 'english', 'dubbed']",OLD,5.0,43,['comedy'],[],1.0,tt0202477,8.1,2151.0,1.487,7.0,"['graham chapman', 'john cleese', 'eric idle', 'terry jones', 'michael palin']","['various characters', 'various characters', 'various characters', 'various characters', 'various characters']",['ian macnaughton']
ts20681,['seinfeld'],SHOW,"['standup', 'comedian', 'three', 'offbeat', 'friend', 'weather', 'pitfall', 'payoff', 'life', 'new', 'york', 'city', '90', 'show', 'nothing']",OLD,2.0,24,['comedy'],['US'],9.0,tt0098904,8.9,308824.0,130.213,8.301,"['jerry seinfeld', 'jason alexander', 'michael richards', 'julia louisdreyfus']","['jerry seinfeld', 'george costanza', 'cosmo kramer', 'elaine benes']",
ts22082,"['knight', 'rider']",SHOW,"['michael', 'long', 'undercover', 'police', 'officer', 'shot', 'investigating', 'case', 'left', 'dead', 'assailant', 'rescued', 'wilton', 'knight', 'wealthy', 'dying', 'millionaire', 'inventor', 'arranges', 'lifesaving', 'surgery', 'including', 'new', 'face', 'identitythat', 'given', 'special', 'computerized', 'indestructible', 'car', 'called', 'industry', 'two', 'thousand', 'nicknamed', 'kitt', 'mission', 'apprehend', 'criminal', 'beyond', 'reach', 'law', 'series', 'depicts', 'michael', 'exploit', 'battle', 'force', 'evil', 'behalf', 'foundation', 'government']",OLD,2.0,51,"['scifi', 'action', 'crime', 'drama']",['US'],4.0,tt0083437,6.9,34115.0,50.267,7.5,"['david hasselhoff', 'edward mulhare', 'william daniels', 'patricia mcpherson', 'peter parros']","['michael knight', 'devon miles', 'kitt voice', 'bonnie barstow', 'rc3']",
ts21715,"['thomas', 'friend']",SHOW,"['thomas', 'friend', 'british', 'childrens', 'television', 'series', 'first', 'broadcast', 'itv', 'network', '4', 'september', '1984', 'based', 'railway', 'book', 'reverend', 'wilbert', 'awdry', 'son', 'christopher', 'book', 'deal', 'adventure', 'group', 'anthropomorphised', 'locomotive', 'road', 'vehicle', 'live', 'fictional', 'island', 'sodor', 'book', 'story', 'told', 'entertain', 'recovery', 'measles', 'one', 'four', 'many', 'story', 'event', 'awdrys', 'personal', 'experience']",OLD,1.0,10,"['animation', 'family', 'comedy', 'fantasy', 'drama', 'action', 'music']",['GB'],24.0,tt0086815,6.5,5104.0,42.196,6.5,['rachael louise miller'],['nan'],
ts20678,"['saved', 'bell']",SHOW,"['lovable', 'schemer', 'zack', 'morris', 'lead', 'pal', 'adventure', 'california', 'bayside', 'high', 'school', 'friend', 'navigate', 'relationship', 'final', 'exam', 'dance', 'breakup', 'frequently', 'frustrating', 'principal', 'mr', 'richard', 'belding', 'best', 'keep', 'check']",OLD,1.0,23,"['family', 'comedy', 'romance']",['US'],5.0,tt0096694,7.1,35034.0,19.855,8.0,"['markpaul gosselaar', 'mario lpez', 'dustin diamond', 'lark voorhies', 'dennis haskins']","['zack morris', 'ac slater', 'samuel screech powers', 'lisa turtle', 'richard belding']",
ts25028,"['wheel', 'fortune']",SHOW,"['game', 'show', 'see', 'contestant', 'solve', 'word', 'puzzle', 'similar', 'used', 'hangman', 'win', 'cash', 'prize', 'determined', 'spinning', 'giant', 'carnival', 'wheel']",OLD,1.0,26,['family'],['US'],39.0,tt0072584,6.7,3145.0,5.935,6.8,"['vanna white', 'pat sajak']","['cohost', 'host']",
ts23753,"['major', 'dad']",SHOW,"['major', 'dad', 'american', 'sitcom', 'created', 'richard', 'c', 'okie', 'john', 'g', 'stephen', 'developed', 'earl', 'pomerantz', 'originally', 'ran', '1989', '1993', 'cbs', 'starring', 'gerald', 'mcraney', 'macgillis', 'shanna', 'reed', 'wife', 'polly', 'cast', 'also', 'includes', 'beverly', 'archer', 'matt', 'mulhern', 'jon', 'cypher', 'marisa', 'ryan', 'nicole', 'dubuc', 'chelsea', 'hertford']",OLD,2.0,24,"['comedy', 'family']",['US'],4.0,tt0096643,6.5,2922.0,9.849,6.5,"['gerald mcraney', 'shanna reed', 'matt mulhern', 'jon cypher', 'beverly archer', 'marisa ryan', 'nicole dubuc', 'chelsea hertford']","['major john d macgillis', 'pollyanna esther cooper macgillis', 'eugene holowachuk', 'general marcus craig', 'alva bricker', 'elizabeth cooper macgillis', 'robin cooper macgillis', 'casey cooper macgillis']",
ts987,"['danger', 'mouse']",SHOW,"['danger', 'mouse', 'world', 'greatest', 'secret', 'agent', 'sidekick', 'penfold', 'work', 'foil', 'evil', 'scheme', 'baron', 'greenback']",OLD,1.0,14,"['animation', 'comedy', 'family', 'scifi', 'european']",['GB'],10.0,tt0081848,7.4,3545.0,8.55,7.5,"['david jason', 'terry scott', 'edward kelsey', 'brian trueman']","['danger mouse  narrator voice', 'penfold voice', 'colonel k  baron greenback voice', 'stiletto voice']",
